comparison,qid,query,query_length,oov_ratio,Dense_ndcg@10,AHR_ndcg@10,delta,improved,worsened
Dense→AHR,1,0-dimensional biomaterials show inductive properties.,5,0.2,0.0,0.0,0.0,0,0
Dense→AHR,100,All hematopoietic stem cells segregate their chromosomes randomly.,8,0.0,0.0,0.3155,0.3155,1,0
Dense→AHR,1012,Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,9,0.0,0.0,0.4307,0.4307,1,0
Dense→AHR,1014,Rapamycin decreases the concentration of triacylglycerols in fruit flies.,9,0.0,0.0,0.4307,0.4307,1,0
Dense→AHR,1019,Rapid phosphotransfer rates govern fidelity in two component systems,9,0.0,0.0,0.301,0.301,1,0
Dense→AHR,1020,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,22,0.0455,0.0,0.3562,0.3562,1,0
Dense→AHR,1021,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,22,0.0455,0.0,0.3562,0.3562,1,0
Dense→AHR,1024,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,11,0.0,0.0,0.3562,0.3562,1,0
Dense→AHR,1029,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,21,0.0,0.0,0.3152,0.3152,1,0
Dense→AHR,1041,Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,15,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1049,Ribosomopathies have a low degree of cell and tissue specific pathology.,11,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1062,S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,6,0.0,0.0,0.3562,0.3562,1,0
Dense→AHR,1086,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,19,0.0,0.0,0.3562,0.3562,1,0
Dense→AHR,1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,12,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1089,Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,13,0.1538,0.0,0.3562,0.3562,1,0
Dense→AHR,1099,Statins decrease blood cholesterol.,4,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1100,Statins increase blood cholesterol.,4,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1104,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,24,0.0417,0.0,0.3155,0.3155,1,0
Dense→AHR,1107,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,10,0.0,0.0,0.3869,0.3869,1,0
Dense→AHR,1110,Suboptimal nutrition is not predictive of chronic disease,8,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1121,Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,13,0.0,0.0,0.2891,0.2891,1,0
Dense→AHR,113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,13,0.0,0.0,0.3869,0.3869,1,0
Dense→AHR,1130,T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,17,0.1176,0.0,0.3333,0.3333,1,0
Dense→AHR,1132,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,14,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1137,TNFAIP3 is a tumor suppressor in glioblastoma.,7,0.1429,0.0,0.0,0.0,0,0
Dense→AHR,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,10,0.2,0.0,0.0,0.0,0,0
Dense→AHR,1144,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,17,0.0,0.0,0.3333,0.3333,1,0
Dense→AHR,1146,Teaching hospitals do not provide better care than non-teaching hospitals.,10,0.0,0.0,0.3562,0.3562,1,0
Dense→AHR,115,Anthrax spores can be disposed of easily after they are dispersed.,11,0.2727,0.0,0.3869,0.3869,1,0
Dense→AHR,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,12,0.0833,0.0,0.6309,0.6309,1,0
Dense→AHR,1163,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,10,0.1,0.0,0.3869,0.3869,1,0
Dense→AHR,1175,The PPR MDA5 has two N-terminal CARD domains.,8,0.0,0.0,0.0,0.0,0,0
Dense→AHR,1179,The PRR MDA5 has a central DExD/H RNA helices domain.,10,0.0,0.0,0.0,0.0,0,0
Dense→AHR,118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,12,0.0,0.0,0.4307,0.4307,1,0
