id,question,paper_title,paper_doi,source,resolvability_score,annotator_1_answerable,annotator_1_confidence,annotator_1_notes,annotator_2_answerable,annotator_2_confidence,annotator_2_notes,consensus
Q001,How does domain knowledge improve PENGEMBANGAN RETRIEVAL-AUGMENTED GENERATION (RAG) CHATBOT?,PENGEMBANGAN RETRIEVAL-AUGMENTED GENERATION (RAG) CHATBOT MENGGUNAKAN METODE DESIGN THINKING UNTUK MENDUKUNG PERSONALIZED LEARNING,10.21009/pinter.9.2.1,template_generated,2.0,,,,,,,
Q002,How does Evaluation of Retrieval Methods in compare to baseline? (variant 2),Evaluation of Retrieval Methods in Domain-Specific Chatbots Based on Retrieval-Augmented Generation,10.36085/jsai.v9i1.9897,template_generated,2.0,,,,,,,
Q003,What are the limitations of RAG (RETRIEVAL-AUGMENTED GENERATION) ЯК НОВА? (variant 1),RAG (RETRIEVAL-AUGMENTED GENERATION) ЯК НОВА ПАРАДИГМА КОРПОРАТИВНОЇ АВТОМАТИЗАЦІЇ,10.31891/2307-5732-2026-361-53,template_generated,2.0,,,,,,,
Q004,What are the limitations of Remote Sensing Retrieval-Augmented Generation: Bridging?,Remote Sensing Retrieval-Augmented Generation: Bridging remote sensing imagery and comprehensive knowledge with a multimodal dataset and retrieval-augmented generation model,10.1109/mgrs.2025.3645852,template_generated,2.0,,,,,,,
Q005,How does domain knowledge improve Retrieval-Augmented Generation (RAG) for Real-Time? (variant 2),Retrieval-Augmented Generation (RAG) for Real-Time Financial Market Analysis,10.37547/tajiir/volume07issue07-12,template_generated,2.0,,,,,,,
Q006,Can RAG (RETRIEVAL-AUGMENTED GENERATION) ЯК НОВА be combined with related methods?,RAG (RETRIEVAL-AUGMENTED GENERATION) ЯК НОВА ПАРАДИГМА КОРПОРАТИВНОЇ АВТОМАТИЗАЦІЇ,10.31891/2307-5732-2026-361-53,template_generated,2.0,,,,,,,
Q007,Can Optimierte Interaktion mit Large Language be combined with related methods? (variant 2),Optimierte Interaktion mit Large Language Models,10.1007/s00117-025-01416-2,template_generated,2.0,,,,,,,
Q008,How does Retrieval-Augmented Generation (RAG)-Based Chatbot System scale to large-scale retrieval? (variant 1),Retrieval-Augmented Generation (RAG)-Based Chatbot System,10.64388/irev9i5-1712249,template_generated,2.0,,,,,,,
Q009,What are the limitations of Multimedia Graph Codes for Fast? (variant 1),Multimedia Graph Codes for Fast and Semantic Retrieval-Augmented Generation,10.3390/electronics14122472,template_generated,3.0,,,,,,,
Q010,How does Remote Sensing Retrieval-Augmented Generation: Bridging compare to baseline? (variant 1),Remote Sensing Retrieval-Augmented Generation: Bridging remote sensing imagery and comprehensive knowledge with a multimodal dataset and retrieval-augmented generation model,10.1109/mgrs.2025.3645852,template_generated,2.0,,,,,,,
