id,question,paper_title,paper_doi,source,resolvability_score,annotator_1_answerable,annotator_1_confidence,annotator_1_notes,annotator_2_answerable,annotator_2_confidence,annotator_2_notes,consensus
Q001,How does domain knowledge improve An Improved Graph Convolution Network?,An Improved Graph Convolution Network for Robust Image Retrieval,10.1007/s11063-022-11083-2,template_generated,3.0,,,,,,,
Q002,How does Information extraction meets the Semantic scale to large-scale retrieval?,Information extraction meets the Semantic Web: A survey,10.3233/sw-180333,template_generated,2.0,,,,,,,
Q003,Can From Semantic Communication to Semantic-Aware be combined with related methods?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q004,Can Web Application for Retrieval-Augmented Generation: be combined with related methods?,Web Application for Retrieval-Augmented Generation: Implementation and Testing,10.3390/electronics13071361,template_generated,2.0,,,,,,,
Q005,What novel applications could Land Surface Temperature Retrieval from enable?,"Land Surface Temperature Retrieval from Landsat 5, 7, and 8 over Rural Areas: Assessment of Different Retrieval Algorithms and Emissivity Models and Toolbox Implementation",10.3390/rs12020294,template_generated,2.0,,,,,,,
Q006,Can Too Dense or Not Too be combined with related methods?,Too Dense or Not Too Dense: Higher Planting Density Reduces Cannabinoid Uniformity but Increases Yield/Area in Drug-Type Medical Cannabis,10.3389/fpls.2022.713481,template_generated,3.0,,,,,,,
Q007,What novel applications could From Semantic Communication to Semantic-Aware enable?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q008,What novel applications could Visual context learning based on enable?,Visual context learning based on textual knowledge for image–text retrieval,10.1016/j.neunet.2022.05.008,template_generated,2.0,,,,,,,
Q009,What are the limitations of Deconstructing search tasks in interactive?,Deconstructing search tasks in interactive information retrieval: A systematic review of task dimensions and predictors,10.1016/j.ipm.2021.102522,template_generated,2.0,,,,,,,
Q010,What novel applications could Improving zero-shot retrieval using dense enable?,Improving zero-shot retrieval using dense external expansion,10.1016/j.ipm.2022.103026,template_generated,3.0,,,,,,,
Q011,What evaluation metrics are most suitable for Web Application for Retrieval-Augmented Generation:?,Web Application for Retrieval-Augmented Generation: Implementation and Testing,10.3390/electronics13071361,template_generated,2.0,,,,,,,
Q012,What novel applications could AI Resilience and Information Retrieval enable?,AI Resilience and Information Retrieval,10.54195/irrj.25004,template_generated,2.0,,,,,,,
Q013,What novel applications could Convolutional neural networks for relevance enable?,Convolutional neural networks for relevance feedback in content based image retrieval,10.1007/s11042-020-09292-9,template_generated,2.0,,,,,,,
Q014,What novel applications could Neural-symbolic integration and the Semantic enable?,Neural-symbolic integration and the Semantic Web,10.3233/sw-190368,template_generated,2.0,,,,,,,
Q015,What are the limitations of Evaluation and Comparative Analysis of?,Evaluation and Comparative Analysis of Semantic Web-Based Strategies for Enhancing Educational System Development,10.4018/ijswis.302895,template_generated,2.0,,,,,,,
Q016,How does domain knowledge improve A novel content-based image retrieval?,A novel content-based image retrieval approach for classification using GLCM features and texture fused LBP variants,10.1007/s00521-020-05017-z,template_generated,2.0,,,,,,,
Q017,What are the limitations of From Semantic Communication to Semantic-Aware?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q018,What are the limitations of Automatic Retrieval-Augmented Generation of 6G?,Automatic Retrieval-Augmented Generation of 6G Network Specifications for Use Cases,10.1109/mcom.002.2400280,template_generated,2.0,,,,,,,
Q019,What novel applications could Dense extreme inception network for enable?,Dense extreme inception network for edge detection,10.1016/j.patcog.2023.109461,template_generated,3.0,,,,,,,
Q020,How does domain knowledge improve Spatio-temporal soil moisture retrieval at?,Spatio-temporal soil moisture retrieval at the catchment scale  using a dense network of cosmic-ray neutron sensors,10.5194/hess-25-4807-2021,template_generated,2.0,,,,,,,
Q021,How does Contrastive Refinement for Dense Retrieval compare to baseline?,Contrastive Refinement for Dense Retrieval Inference in the Open-Domain Question Answering Task,10.3390/fi15040137,template_generated,3.0,,,,,,,
Q022,How does Fra voksenfobi til moderskab i compare to baseline?,Fra voksenfobi til moderskab i dansk samtidslitteratur,10.7146/pas.v36i85.127974,template_generated,2.0,,,,,,,
Q023,How does domain knowledge improve Cross-lingual multi-keyword rank search with?,Cross-lingual multi-keyword rank search with semantic extension over encrypted data,10.1016/j.ins.2019.11.013,template_generated,3.0,,,,,,,
Q024,What are the limitations of From Semantic Communication to Semantic-Aware?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q025,What evaluation metrics are most suitable for Brief Report: Predicting Social Skills?,"Brief Report: Predicting Social Skills from Semantic, Syntactic, and Pragmatic Language Among Young Children with Autism Spectrum Disorder",10.1007/s10803-020-04445-z,template_generated,2.0,,,,,,,
Q026,How does domain knowledge improve DC-GNN: drop channel graph neural?,DC-GNN: drop channel graph neural network for object classification and part segmentation in the point cloud,10.1007/s13735-022-00236-7,template_generated,3.0,,,,,,,
Q027,Can SOSRepair: Expressive Semantic Search for be combined with related methods?,SOSRepair: Expressive Semantic Search for Real-World Program Repair,10.1109/tse.2019.2944914,template_generated,2.0,,,,,,,
Q028,How does Evaluation and Comparative Analysis of scale to large-scale retrieval?,Evaluation and Comparative Analysis of Semantic Web-Based Strategies for Enhancing Educational System Development,10.4018/ijswis.302895,template_generated,2.0,,,,,,,
Q029,What evaluation metrics are most suitable for Optical music recognition for homophonic?,Optical music recognition for homophonic scores with neural networks and synthetic music generation,10.1007/s13735-023-00278-5,template_generated,2.0,,,,,,,
Q030,What novel applications could Neural embedding-based specificity metrics for enable?,Neural embedding-based specificity metrics for pre-retrieval query performance prediction,10.1016/j.ipm.2020.102248,template_generated,3.0,,,,,,,
Q031,Can DC-GNN: drop channel graph neural be combined with related methods?,DC-GNN: drop channel graph neural network for object classification and part segmentation in the point cloud,10.1007/s13735-022-00236-7,template_generated,3.0,,,,,,,
Q032,How does Novelty Controlled Paraphrase Generation with scale to large-scale retrieval?,Novelty Controlled Paraphrase Generation with Retrieval Augmented Conditional Prompt Tuning,10.1609/aaai.v36i10.21297,template_generated,2.0,,,,,,,
Q033,What novel applications could Deep learning based approaches from enable?,Deep learning based approaches from semantic point clouds to semantic BIM models for heritage digital twin,10.1186/s40494-024-01179-4,template_generated,2.0,,,,,,,
Q034,How does Mapping the Intellectual Landscape Of compare to baseline?,Mapping the Intellectual Landscape Of Retrieval-Augmented Generation (RAG): A Bibliometric Analysis,10.3837/tiis.2026.01.013,template_generated,2.0,,,,,,,
Q035,Can An end-to-end pseudo relevance feedback be combined with related methods?,An end-to-end pseudo relevance feedback framework for neural document retrieval,10.1016/j.ipm.2019.102182,template_generated,2.0,,,,,,,
Q036,What are the limitations of Dense extreme inception network for?,Dense extreme inception network for edge detection,10.1016/j.patcog.2023.109461,template_generated,3.0,,,,,,,
Q037,"What evaluation metrics are most suitable for Mærkelig planet, mærkelig litteraturhistorie?","Mærkelig planet, mærkelig litteraturhistorie",10.7146/pas.v38i90.143030,template_generated,2.0,,,,,,,
Q038,What novel applications could Information extraction meets the Semantic enable?,Information extraction meets the Semantic Web: A survey,10.3233/sw-180333,template_generated,2.0,,,,,,,
Q039,Can From Semantic Communication to Semantic-Aware be combined with related methods?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q040,How does domain knowledge improve AI Resilience and Information Retrieval?,AI Resilience and Information Retrieval,10.54195/irrj.25004,template_generated,2.0,,,,,,,
Q041,"What are the limitations of Mærkelig planet, mærkelig litteraturhistorie?","Mærkelig planet, mærkelig litteraturhistorie",10.7146/pas.v38i90.143030,template_generated,2.0,,,,,,,
Q042,How does From Semantic Communication to Semantic-Aware scale to large-scale retrieval?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q043,Can Automatic Retrieval-Augmented Generation of 6G be combined with related methods?,Automatic Retrieval-Augmented Generation of 6G Network Specifications for Use Cases,10.1109/mcom.002.2400280,template_generated,2.0,,,,,,,
Q044,How does Brief Report: Predicting Social Skills scale to large-scale retrieval?,"Brief Report: Predicting Social Skills from Semantic, Syntactic, and Pragmatic Language Among Young Children with Autism Spectrum Disorder",10.1007/s10803-020-04445-z,template_generated,2.0,,,,,,,
Q045,How does domain knowledge improve Semantic Learning Based Cross-Platform Binary?,Semantic Learning Based Cross-Platform Binary Vulnerability Search For IoT Devices,10.1109/tii.2019.2947432,template_generated,2.0,,,,,,,
Q046,What novel applications could Deep Convolutional Neural Networks in enable?,Deep Convolutional Neural Networks in Medical Image Analysis: A Review,10.3390/info16030195,template_generated,2.0,,,,,,,
Q047,What novel applications could Evaluation and Comparative Analysis of enable?,Evaluation and Comparative Analysis of Semantic Web-Based Strategies for Enhancing Educational System Development,10.4018/ijswis.302895,template_generated,2.0,,,,,,,
Q048,What novel applications could Spatio-temporal soil moisture retrieval at enable?,Spatio-temporal soil moisture retrieval at the catchment scale  using a dense network of cosmic-ray neutron sensors,10.5194/hess-25-4807-2021,template_generated,2.0,,,,,,,
Q049,Can The Weights Can Be Harmful: be combined with related methods?,The Weights Can Be Harmful: Pareto Search versus Weighted Search in Multi-objective Search-based Software Engineering,10.1145/3514233,template_generated,2.0,,,,,,,
Q050,How does Group-Wise Semantic Mining for Weakly compare to baseline?,Group-Wise Semantic Mining for Weakly Supervised Semantic Segmentation,10.1609/aaai.v35i3.16294,template_generated,2.0,,,,,,,
Q051,How does domain knowledge improve Generative commonsense knowledge subgraph retrieval?,Generative commonsense knowledge subgraph retrieval for open-domain dialogue response generation,10.1016/j.neunet.2024.106666,template_generated,3.0,,,,,,,
Q052,Can Semantic Learning Based Cross-Platform Binary be combined with related methods?,Semantic Learning Based Cross-Platform Binary Vulnerability Search For IoT Devices,10.1109/tii.2019.2947432,template_generated,2.0,,,,,,,
Q053,What novel applications could Multiple Discrimination and Pairwise CNN enable?,Multiple Discrimination and Pairwise CNN for view-based 3D object retrieval,10.1016/j.neunet.2020.02.017,template_generated,2.0,,,,,,,
Q054,How does Semantic-Aware Superpixel for Weakly Supervised compare to baseline?,Semantic-Aware Superpixel for Weakly Supervised Semantic Segmentation,10.1609/aaai.v37i1.25196,template_generated,2.0,,,,,,,
Q055,Can Human action recognition using an be combined with related methods?,Human action recognition using an optical flow-gated recurrent neural network,10.1007/s13735-024-00338-4,template_generated,2.0,,,,,,,
Q056,Can МОДЕЛИ ОБРАБОТКИ ЕСТЕСТВЕННОГО ЯЗЫКА ДЛЯ be combined with related methods?,МОДЕЛИ ОБРАБОТКИ ЕСТЕСТВЕННОГО ЯЗЫКА ДЛЯ УЛУЧШЕНИЯ СЕМАНТИЧЕСКИХ РЕЗУЛЬТАТОВ ПОИСКА,10.54309/ijict.2022.10.2.008,template_generated,2.0,,,,,,,
Q057,How does A multi-embedding neural model for scale to large-scale retrieval?,A multi-embedding neural model for incident video retrieval,10.1016/j.patcog.2022.108807,template_generated,3.0,,,,,,,
Q058,What novel applications could Dense Residual Network: Enhancing global enable?,Dense Residual Network: Enhancing global dense feature flow for character recognition,10.1016/j.neunet.2021.02.005,template_generated,3.0,,,,,,,
Q059,What are the limitations of Europæiske grænser (ud)foldet?,Europæiske grænser (ud)foldet,10.7146/pas.v37i87.133262,template_generated,2.0,,,,,,,
Q060,What novel applications could Deep Convolutional Neural Networks in enable?,Deep Convolutional Neural Networks in Medical Image Analysis: A Review,10.3390/info16030195,template_generated,2.0,,,,,,,
Q061,How does domain knowledge improve The Weights Can Be Harmful:?,The Weights Can Be Harmful: Pareto Search versus Weighted Search in Multi-objective Search-based Software Engineering,10.1145/3514233,template_generated,2.0,,,,,,,
Q062,What novel applications could ERP prototypical matching net: a enable?,ERP prototypical matching net: a meta-learning method for zero-calibration RSVP-based image retrieval,10.1088/1741-2552/ac5eb7,template_generated,2.0,,,,,,,
Q063,What novel applications could Too Dense or Not Too enable?,Too Dense or Not Too Dense: Higher Planting Density Reduces Cannabinoid Uniformity but Increases Yield/Area in Drug-Type Medical Cannabis,10.3389/fpls.2022.713481,template_generated,3.0,,,,,,,
Q064,How does Dense extreme inception network for scale to large-scale retrieval?,Dense extreme inception network for edge detection,10.1016/j.patcog.2023.109461,template_generated,3.0,,,,,,,
Q065,Can Novelty Controlled Paraphrase Generation with be combined with related methods?,Novelty Controlled Paraphrase Generation with Retrieval Augmented Conditional Prompt Tuning,10.1609/aaai.v36i10.21297,template_generated,2.0,,,,,,,
Q066,Can Spatio-temporal soil moisture retrieval at be combined with related methods?,Spatio-temporal soil moisture retrieval at the catchment scale  using a dense network of cosmic-ray neutron sensors,10.5194/hess-25-4807-2021,template_generated,2.0,,,,,,,
Q067,How does Too Dense or Not Too scale to large-scale retrieval?,Too Dense or Not Too Dense: Higher Planting Density Reduces Cannabinoid Uniformity but Increases Yield/Area in Drug-Type Medical Cannabis,10.3389/fpls.2022.713481,template_generated,3.0,,,,,,,
Q068,What novel applications could Generative commonsense knowledge subgraph retrieval enable?,Generative commonsense knowledge subgraph retrieval for open-domain dialogue response generation,10.1016/j.neunet.2024.106666,template_generated,3.0,,,,,,,
Q069,How does domain knowledge improve Hierarchical matching and reasoning for?,Hierarchical matching and reasoning for multi-query image retrieval,10.1016/j.neunet.2024.106200,template_generated,2.0,,,,,,,
Q070,"What evaluation metrics are most suitable for Sparse, Dense, and Attentional Representations?","Sparse, Dense, and Attentional Representations for Text Retrieval",10.1162/tacl_a_00369,template_generated,4.0,,,,,,,
Q071,What evaluation metrics are most suitable for SOSRepair: Expressive Semantic Search for?,SOSRepair: Expressive Semantic Search for Real-World Program Repair,10.1109/tse.2019.2944914,template_generated,2.0,,,,,,,
Q072,How does Dense extreme inception network for scale to large-scale retrieval?,Dense extreme inception network for edge detection,10.1016/j.patcog.2023.109461,template_generated,3.0,,,,,,,
Q073,How does Enhancing medical AI with retrieval-augmented compare to baseline?,Enhancing medical AI with retrieval-augmented generation: A mini narrative review,10.1177/20552076251337177,template_generated,2.0,,,,,,,
Q074,What are the limitations of A novel content-based image retrieval?,A novel content-based image retrieval approach for classification using GLCM features and texture fused LBP variants,10.1007/s00521-020-05017-z,template_generated,2.0,,,,,,,
Q075,How does domain knowledge improve Bridging multimedia heterogeneity gap via?,Bridging multimedia heterogeneity gap via Graph Representation Learning for cross-modal retrieval,10.1016/j.neunet.2020.11.011,template_generated,2.0,,,,,,,
Q076,Can Pre-training Methods in Information Retrieval be combined with related methods?,Pre-training Methods in Information Retrieval,10.1561/1500000100,template_generated,2.0,,,,,,,
Q077,What novel applications could Semantic-Aware Informative Path Planning for enable?,Semantic-Aware Informative Path Planning for Efficient Object Search Using Mobile Robot,10.1109/tsmc.2019.2946646,template_generated,2.0,,,,,,,
Q078,How does domain knowledge improve Semantic variation and semantic change?,Semantic variation and semantic change in the color lexicon,10.1515/ling-2023-0161,template_generated,2.0,,,,,,,
Q079,How does domain knowledge improve Land Surface Temperature Retrieval from?,"Land Surface Temperature Retrieval from Landsat 5, 7, and 8 over Rural Areas: Assessment of Different Retrieval Algorithms and Emissivity Models and Toolbox Implementation",10.3390/rs12020294,template_generated,2.0,,,,,,,
Q080,Can Dense Residual Network: Enhancing global be combined with related methods?,Dense Residual Network: Enhancing global dense feature flow for character recognition,10.1016/j.neunet.2021.02.005,template_generated,3.0,,,,,,,
Q081,How does Cross-lingual multi-keyword rank search with compare to baseline?,Cross-lingual multi-keyword rank search with semantic extension over encrypted data,10.1016/j.ins.2019.11.013,template_generated,3.0,,,,,,,
Q082,How does From Semantic Communication to Semantic-Aware compare to baseline?,"From Semantic Communication to Semantic-Aware Networking: Model, Architecture, and Open Problems",10.1109/mcom.001.2001239,template_generated,2.0,,,,,,,
Q083,Can Legal Information Retrieval systems: State-of-the-art be combined with related methods?,Legal Information Retrieval systems: State-of-the-art and open issues,10.1016/j.is.2021.101967,template_generated,2.0,,,,,,,
Q084,What are the limitations of Automatic Retrieval-Augmented Generation of 6G?,Automatic Retrieval-Augmented Generation of 6G Network Specifications for Use Cases,10.1109/mcom.002.2400280,template_generated,2.0,,,,,,,
Q085,"Can Kvinder, der læser romancer be combined with related methods?","Kvinder, der læser romancer",10.7146/pas.v39i91.146666,template_generated,2.0,,,,,,,
Q086,How does Scholarly article retrieval from Web scale to large-scale retrieval?,"Scholarly article retrieval from Web of Science, Scopus and Dimensions: A comparative analysis of retrieval quality",10.1177/01655515231191351,template_generated,2.0,,,,,,,
Q087,"How does Kvinder, der læser romancer scale to large-scale retrieval?","Kvinder, der læser romancer",10.7146/pas.v39i91.146666,template_generated,2.0,,,,,,,
Q088,How does domain knowledge improve An end-to-end pseudo relevance feedback?,An end-to-end pseudo relevance feedback framework for neural document retrieval,10.1016/j.ipm.2019.102182,template_generated,2.0,,,,,,,
Q089,Can Semantic Web-Enhanced Reinforcement Learning Model be combined with related methods?,Semantic Web-Enhanced Reinforcement Learning Model for Urban Planning Optimization,10.4018/ijswis.371755,template_generated,2.0,,,,,,,
Q090,How does Bridging multimedia heterogeneity gap via scale to large-scale retrieval?,Bridging multimedia heterogeneity gap via Graph Representation Learning for cross-modal retrieval,10.1016/j.neunet.2020.11.011,template_generated,2.0,,,,,,,
Q091,How does An end-to-end pseudo relevance feedback scale to large-scale retrieval?,An end-to-end pseudo relevance feedback framework for neural document retrieval,10.1016/j.ipm.2019.102182,template_generated,2.0,,,,,,,
Q092,How does domain knowledge improve Dense Residual Network: Enhancing global?,Dense Residual Network: Enhancing global dense feature flow for character recognition,10.1016/j.neunet.2021.02.005,template_generated,3.0,,,,,,,
