id,question,paper_title,paper_doi,source,resolvability_score,annotator_1_answerable,annotator_1_confidence,annotator_1_notes,annotator_2_answerable,annotator_2_confidence,annotator_2_notes,consensus
Q001,What novel applications could Agentic Retrieval-Augmented Generation: Advancing AI-Driven enable?,Agentic Retrieval-Augmented Generation: Advancing AI-Driven Information Retrieval and Processing,10.14445/22312803/ijctt-v73i1p111,template_generated,2.0,,,,,,,
Q002,Can Retrieval-Augmented Transformer-XL for Close-Domain Dialog be combined with related methods?,Retrieval-Augmented Transformer-XL for Close-Domain Dialog Generation,10.32473/flairs.v34i1.128369,template_generated,2.0,,,,,,,
Q003,What novel applications could Deep image retrieval using artificial enable?,Deep image retrieval using artificial neural network interpolation and indexing based on similarity measurement,10.1049/cit2.12083,template_generated,2.0,,,,,,,
Q004,How does A Scalable Retrieval-Augmented Generation Pipeline scale to large-scale retrieval?,A Scalable Retrieval-Augmented Generation Pipeline for Domain-Specific Knowledge Applications,10.51584/ijrias.2025.1010000014,template_generated,2.0,,,,,,,
Q005,How does domain knowledge improve Topic-RAG for historical newspapers: Enhancing?,Topic-RAG for historical newspapers: Enhancing information retrieval in humanities research through topic-based retrieval-augmented generation,10.1017/chr.2025.10018,template_generated,2.0,,,,,,,
Q006,What evaluation metrics are most suitable for Multi-Stage Conversational Passage Retrieval: An?,Multi-Stage Conversational Passage Retrieval: An Approach to Fusing Term Importance Estimation and Neural Query Rewriting,10.1145/3446426,template_generated,2.0,,,,,,,
Q007,How does Semantic Search for Scientific Articles scale to large-scale retrieval?,Semantic Search for Scientific Articles by Language Using Cosine Similarity Algorithm and Weighted Tree Similarity,10.28926/jdr.v5i2.150,template_generated,2.0,,,,,,,
Q008,How does domain knowledge improve Features of Applying Retrieval-Augmented Generation?,Features of Applying Retrieval-Augmented Generation for Processing Large Data Sets,10.56581/ijlemr.10.02.63-68,template_generated,2.0,,,,,,,
Q009,What novel applications could Knowledge Graphs: An Information Retrieval enable?,Knowledge Graphs: An Information Retrieval Perspective,10.1561/1500000063,template_generated,3.0,,,,,,,
Q010,What novel applications could Retrieval-Augmented Generation (RAG) Chatbots for enable?,Retrieval-Augmented Generation (RAG) Chatbots for Education: A Survey of Applications,10.3390/app15084234,template_generated,2.0,,,,,,,
Q011,Can Scholarly article retrieval from Web be combined with related methods?,"Scholarly article retrieval from Web of Science, Scopus and Dimensions: A comparative analysis of retrieval quality",10.1177/01655515231191351,template_generated,2.0,,,,,,,
Q012,What are the limitations of Natural Language Processing Techniques for?,Natural Language Processing Techniques for Information Retrieval Enhancing Search Engines with Semantic Understanding,10.1051/itmconf/20257605013,template_generated,2.0,,,,,,,
Q013,What are the limitations of Video Object Search: A Semantic?,Video Object Search: A Semantic Approach with OpenAI's CLIP Technology,10.55041/ijsrem32287,template_generated,2.0,,,,,,,
Q014,"How does Sparse, Dense, and Attentional Representations scale to large-scale retrieval?","Sparse, Dense, and Attentional Representations for Text Retrieval",10.1162/tacl_a_00369,template_generated,4.0,,,,,,,
Q015,What evaluation metrics are most suitable for From Code Generation to Software?,From Code Generation to Software Testing: AI Copilot With Context-Based Retrieval-Augmented Generation,10.1109/ms.2025.3549628,template_generated,2.0,,,,,,,
Q016,How does Leveraging Retrieval-Augmented Generation for Swahili compare to baseline?,Leveraging Retrieval-Augmented Generation for Swahili Language Conversation Systems,10.3390/app15020524,template_generated,2.0,,,,,,,
Q017,How does Semantic search for Japanese sentences compare to baseline?,Semantic search for Japanese sentences based on sentence embedding,10.1504/ijwgs.2025.10072055,template_generated,2.0,,,,,,,
Q018,"What evaluation metrics are most suitable for Sparse, Dense, and Attentional Representations?","Sparse, Dense, and Attentional Representations for Text Retrieval",10.1162/tacl_a_00369,template_generated,4.0,,,,,,,
Q019,How does Web Application for Retrieval-Augmented Generation: compare to baseline?,Web Application for Retrieval-Augmented Generation: Implementation and Testing,10.3390/electronics13071361,template_generated,2.0,,,,,,,
Q020,Can Dilated Transaction Access and Retrieval: be combined with related methods?,Dilated Transaction Access and Retrieval: Improving the Information Retrieval of Blockchain-Assimilated Internet of Things Transactions,10.1007/s11277-021-08094-y,template_generated,2.0,,,,,,,
Q021,How does Graph-based data management system for compare to baseline?,"Graph-based data management system for efficient information storage, retrieval and processing",10.1016/j.ipm.2022.103165,template_generated,3.0,,,,,,,
Q022,What novel applications could Knowledge Graphs: An Information Retrieval enable?,Knowledge Graphs: An Information Retrieval Perspective,10.1561/1500000063,template_generated,3.0,,,,,,,
